timestamp,open,high,low,close
2023-12-07,2026.98,2039.66,2020.34,2028.05
2023-12-08,2028.3,2033.91,1994.71,2004.29
2023-12-10,2004.25,2007.39,2003.6,2007.08
2023-12-11,2007.14,2007.62,1975.4,1982.86
2023-12-12,1982.95,1994.96,1977.16,1982.46
2023-12-13,1982.25,2032.97,1973.01,2032.97
2023-12-14,2032.52,2047.55,2028.05,2035.65
2023-12-15,2035.96,2044.42,2015.96,2019.45
2023-12-17,2019.59,2021.19,2015.3,2017.72
2023-12-18,2017.66,2033.49,2015.4,2027.61
2023-12-19,2027.48,2046.82,2021.1,2040.78
2023-12-20,2040.8,2043.29,2027.54,2032.08
2023-12-21,2032.01,2054.79,2031.9,2052.21
2023-12-22,2052.98,2070.2,2046.9,2052.74
2023-12-24,2054.71,2054.71,2054.71,2054.71
2023-12-25,2053.41,2057.6,2053.2,2054.97
2023-12-26,2054.69,2068.91,2052.9,2066.05
2023-12-27,2066.36,2083.99,2061.65,2079.26
2023-12-28,2079.31,2088.31,2064.6,2066.9
2023-12-29,2066.69,2074.51,2058.22,2062.66
2023-12-31,2065.21,2065.21,2065.21,2065.21
2024-01-01,2064.0,2066.44,2063.0,2063.54
2024-01-02,2063.78,2078.8,2056.65,2059.54
2024-01-03,2059.55,2065.92,2030.88,2042.95
2024-01-04,2042.92,2050.65,2036.56,2044.41
2024-01-05,2044.02,2063.6,2025.36,2045.41
2024-01-07,2046.65,2046.65,2042.3,2044.38
2024-01-08,2044.1,2046.5,2018.62,2030.71
2024-01-09,2029.8,2040.22,2026.12,2031.01
2024-01-10,2030.74,2040.19,2020.39,2026.71
2024-01-11,2026.87,2038.96,2013.39,2034.92
2024-01-12,2035.2,2062.13,2029.9,2048.99
2024-01-14,2050.25,2050.25,2045.5,2047.49
2024-01-15,2047.29,2058.55,2045.8,2054.2
2024-01-16,2054.25,2054.4,2023.9,2028.21
2024-01-17,2028.01,2032.36,2001.4,2009.7
2024-01-18,2009.5,2024.34,2005.5,2023.71
2024-01-19,2023.33,2039.29,2019.6,2029.47
2024-01-21,2031.9,2031.9,2026.1,2027.45
2024-01-22,2027.29,2031.92,2017.46,2020.7
2024-01-23,2021.28,2037.65,2019.1,2029.4
2024-01-24,2028.9,2036.33,2011.22,2016.41
2024-01-25,2016.43,2024.84,2010.71,2020.59
2024-01-26,2019.8,2025.91,2016.0,2018.33
2024-01-28,2018.75,2027.43,2018.75,2021.74
2024-01-29,2021.79,2037.24,2018.5,2031.16
2024-01-30,2031.27,2048.31,2029.1,2036.4
2024-01-31,2036.74,2055.78,2031.0,2039.85
2024-02-01,2040.0,2065.14,2038.5,2054.66
2024-02-02,2054.68,2057.42,2027.2,2039.58
2024-02-04,2042.4,2042.4,2038.2,2039.31
2024-02-05,2040.01,2040.01,2014.4,2024.99
2024-02-06,2025.1,2038.62,2022.6,2035.15
2024-02-07,2035.21,2044.47,2030.57,2036.54
2024-02-08,2036.42,2038.43,2020.34,2034.1
2024-02-09,2034.1,2036.75,2020.3,2024.38
2024-02-11,2023.45,2026.6,2023.45,2025.38
2024-02-12,2025.25,2026.98,2011.3,2018.76
2024-02-13,2018.76,2029.71,1990.19,1991.28
