timestamp,open,high,low,close,returns,target,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_5_2.0_2.0,BBM_5_2.0_2.0,BBU_5_2.0_2.0,BBB_5_2.0_2.0,BBP_5_2.0_2.0,EMA_10,EMA_30,SMA_50,SMA_200,STOCHk_14_3_3,STOCHd_14_3_3,STOCHh_14_3_3,ADX_14,ADXR_14_2,DMP_14,DMN_14,volatility_20,close_to_high_20,close_to_low_20,dayofweek,month
2024-07-28,2386.6,2402.17,2386.6,2396.45,0.004127210257269809,0,51.97629808146547,9.886299422759748,-6.2501051928387135,16.13640461559846,2357.187559641355,2390.824,2424.460440358645,2.8137947718982996,0.583629538976377,2397.94437652106,2384.92571954115,2358.2738,2211.4829,22.421398163820143,25.11397117492917,-2.692573011109026,22.130760507424306,23.66443717098677,26.784290672928783,24.184277748757932,0.009881755896296161,0.9650574657098445,1.0196357911755944,6,7
2024-07-29,2397.17,2402.24,2369.86,2381.06,-0.006421999207160578,1,48.69225184953594,7.789146324409103,-6.677806632951489,14.466952957360592,2357.5993867829006,2385.368,2413.1366132170992,2.32824563900407,0.4224304079155955,2394.874489880867,2384.6763182804307,2359.3798,2213.24795,26.770785249012746,24.217487274098016,2.553297974914731,20.775965346127194,22.10834569783786,24.70548903747868,26.319737519073072,0.009441995810685415,0.9588598674301915,1.0130876909330724,0,7
2024-07-30,2380.88,2412.27,2376.3,2409.62,0.011994657841465584,1,54.44463393859645,8.335603055622414,-4.905079921390543,13.240682977012957,2353.5186987853554,2387.5660000000003,2421.613301214645,2.852051102641343,0.8238729534092037,2397.555491720709,2386.2855880687903,2361.0611999999996,2215.2745999999997,32.67425757808901,27.28881366364063,5.3854439144483806,19.421838446456455,20.77629947694038,24.97556874321016,24.083580804918903,0.009807016650878467,0.9703610634579296,1.025239331149215,1,7
2024-07-31,2409.74,2450.56,2404.22,2445.84,0.015031415741901366,1,60.49391413017569,11.558090773175536,-1.3460737630699384,12.904164536245474,2352.2599670499953,2403.914,2455.568032950005,4.297494248962723,0.9058347200167259,2406.3344932260347,2390.1278081933847,2362.9701999999997,2217.4683999999997,45.34030876545125,34.928450530851,10.411858234600246,19.326107343951914,20.051036345039556,31.05479662644919,21.54407709218237,0.009979434206185581,0.9849469640225192,1.0406501297706676,2,7
2024-08-01,2445.94,2461.49,2430.25,2445.86,8.177149772636838e-06,0,60.49703345142693,13.95271116985441,0.8388373068871484,13.113873862967262,2357.238383270803,2415.766,2474.2936167291973,4.845470689561591,0.7570923068612435,2413.5209490031193,2393.723433471231,2365.3142,2219.7834,61.95824998717771,46.657605443572656,15.300644543605053,19.52073394608841,19.47128619627243,31.334430185362635,20.012074228893784,0.009987259743651205,0.9849550180813622,1.0393585014703135,3,8
2024-08-02,2444.91,2476.93,2411.83,2442.08,-0.0015454686695068887,0,59.54016416266147,15.368294544234686,1.8035365450139391,13.564757999220747,2367.1998750608072,2424.8920000000003,2482.5841249391933,4.75832531421548,0.6489631385402742,2418.713503729825,2396.8432119569584,2367.0562,2222.0815000000002,71.44118969145747,59.5799161480288,11.861273543428666,18.996778219482646,19.16144278171728,27.022156346738708,21.151968773497497,0.01000667524168317,0.9834328009600438,1.0377522054699053,4,8
2024-08-04,2442.08,2446.22,2437.8,2440.76,-0.000540522832994661,0,59.188101667380806,16.196933432489914,2.105740346615331,14.091193085874583,2406.073058535786,2436.8320000000003,2467.5909414642147,2.5245024248051835,0.5638513520461979,2422.7219575971294,2399.676553121026,2368.3378000000002,2224.1204500000003,71.27979286211304,68.22641084691607,3.0533820151969735,18.510247901920152,19.015490924004283,26.513910196775786,20.754132029629957,0.009200005147385597,0.982901233076409,1.0371912767078584,6,8
2024-08-05,2440.7,2457.18,2364.71,2404.79,-0.01473721299922981,0,50.43618533932268,13.792169787305284,-0.23921863885543893,14.031388426160722,2400.8282557803877,2435.866,2470.9037442196122,2.8768203357337594,0.05653537788820686,2419.4616016703785,2400.0064529196693,2370.5634,2225.96615,61.41967822782781,68.04688692713277,-6.6272086993049655,18.490296407918446,18.743537313700546,21.68920139859669,31.36068800116617,0.009806110327571017,0.9684160082473563,1.0219059679420714,0,8
2024-08-06,2405.4,2417.77,2381.81,2384.05,-0.008624453694501266,1,46.19473645734163,10.096447047775655,-3.1479531027080547,13.24440015048371,2368.286085147295,2423.5080000000003,2478.7299148527054,4.55718857562716,0.14273241787026544,2413.0231286394005,2398.977004344207,2372.2752,2227.7891500000005,45.78111946533025,59.493530185090364,-13.712410719760115,18.471770020631148,18.49100896127565,20.15335366847956,29.139986528745016,0.009990253167840229,0.9600639492272132,1.0130925872414205,1,8
2024-08-07,2384.37,2406.61,2379.39,2384.72,0.0002810343742789545,1,46.351692761030854,7.1393258467446685,-4.884059442991234,12.023385289735902,2353.7757653733242,2411.28,2468.784234626676,4.769602420845024,0.26906048595872156,2407.8771052504185,2398.0571976123233,2373.772,2229.62415,30.678847656776497,45.959881783311516,-15.281034126535019,18.514747980876706,18.502522194397578,19.053505802557545,28.03489349700686,0.009886627959622866,0.960333760198452,1.0133773010827625,2,8
2024-08-08,2384.8,2427.37,2383.31,2424.66,0.016748297494045383,1,54.81378746607858,7.927230024321943,-3.276924212331169,11.204154236653112,2358.0322569735763,2407.796,2457.5597430264233,4.133551432631629,0.6694406306117849,2410.928540659433,2399.7735074437865,2375.9679999999994,2231.6094000000007,36.033632468267555,37.49786653012477,-1.464234061857212,17.815404263076136,18.143587141853644,21.49137510408315,25.599557931754664,0.009665849192162347,0.976417715707831,1.0303496455950094,3,8
2024-08-09,2424.45,2436.87,2416.95,2430.71,0.0024951952026264212,0,55.94730015412132,8.93681614607749,-1.813870472460497,10.750686618537987,2362.2583568292516,2405.786,2449.3136431707485,3.6185798047497517,0.7863008215518257,2414.525169630445,2401.769410189349,2378.173,2233.5590500000008,48.60807933813034,38.440186487724795,10.167892850405543,16.847030005090673,17.68088899298369,22.554513738088623,24.560759655069855,0.009681494947810912,0.9813398037086233,1.032920569087726,4,8
